bldg_id,utility
1409,PGE
1556,PGE
1654,PGE
1709,PGE
1978,PGE
2064,PGE
2332,PGE
3414,PGE
3505,PGE
3639,PGE
4061,PGE
4070,PGE
4628,PGE
5619,PGE
5916,PGE
6139,PGE
6684,PGE
6777,PGE
6956,PGE
7487,PGE
7535,PGE
7560,PGE
9395,PGE
9474,PGE
9552,PGE
9996,PGE
10175,PGE
10987,PGE
10994,PGE
11480,PGE
12034,PGE
12353,PGE
12505,PGE
12567,PGE
13137,PGE
13253,PGE
13474,PGE
13773,PGE
13946,PGE
14293,PGE
14792,PGE
14898,PGE
14902,PGE
15257,PGE
15655,PGE
15882,PGE
16181,PGE
16420,PGE
16559,PGE
17036,PGE
17165,PGE
18361,PGE
18477,PGE
18892,PGE
19226,PGE
19579,PGE
19937,PGE
20317,PGE
20630,PGE
20890,PGE
21008,PGE
21063,PGE
21541,PGE
21927,PGE
22591,PGE
23105,PGE
23260,PGE
23418,PGE
23603,PGE
23775,PGE
24036,PGE
24199,PGE
24471,PGE
24590,PGE
24635,PGE
24803,PGE
25216,PGE
25247,PGE
25425,PGE
25453,PGE
26012,PGE
26202,PGE
26757,PGE
26981,PGE
27871,PGE
27890,PGE
28199,PGE
28388,PGE
28392,PGE
29994,PGE
30250,PGE
30754,PGE
31499,PGE
31781,PGE
32125,PGE
32421,PGE
32931,PGE
33280,PGE
33757,PGE
33926,PGE
34050,PGE
34283,PGE
34511,PGE
35539,PGE
35778,PGE
36144,PGE
36186,PGE
36322,PGE
36327,PGE
36845,PGE
37007,PGE
38353,PGE
38545,PGE
39054,PGE
39411,PGE
39605,PGE
39698,PGE
39752,PGE
39753,PGE
40688,PGE
41012,PGE
41135,PGE
41393,PGE
42370,PGE
42398,PGE
42635,PGE
42860,PGE
43069,PGE
43544,PGE
43687,PGE
44091,PGE
46299,PGE
46395,PGE
46453,PGE
46746,PGE
46754,PGE
47009,PGE
47146,PGE
47354,PGE
48330,PGE
48547,PGE
49524,PGE
49698,PGE
49772,PGE
49937,PGE
50000,PGE
50183,PGE
50347,PGE
50457,PGE
50836,PGE
51835,PGE
52010,PGE
52135,PGE
52136,PGE
52253,PGE
52504,PGE
53372,PGE
54330,PGE
54422,PGE
55129,PGE
55815,PGE
56042,PGE
56204,PGE
56375,PGE
56963,PGE
57235,PGE
57432,PGE
57729,PGE
57883,PGE
57933,PGE
59668,PGE
59764,PGE
59971,PGE
60030,PGE
60502,PGE
60689,PGE
60815,PGE
61122,PGE
62160,PGE
62420,PGE
62630,PGE
62891,PGE
63258,PGE
63307,PGE
63620,PGE
63701,PGE
64524,PGE
64590,PGE
64872,PGE
65050,PGE
65396,PGE
65960,PGE
65961,PGE
65995,PGE
66051,PGE
66273,PGE
66338,PGE
66489,PGE
66713,PGE
66941,PGE
67114,PGE
67201,PGE
67538,PGE
68123,PGE
68258,PGE
69181,PGE
69488,PGE
69957,PGE
70106,PGE
70327,PGE
70658,PGE
71006,PGE
71630,PGE
72331,PGE
72545,PGE
72604,PGE
73708,PGE
73711,PGE
73737,PGE
73898,PGE
74025,PGE
74482,PGE
74723,PGE
74914,PGE
75484,PGE
75956,PGE
76913,PGE
77836,PGE
78300,PGE
78498,PGE
78842,PGE
79078,PGE
80240,PGE
80360,PGE
80435,PGE
80458,PGE
80487,PGE
80915,PGE
81037,PGE
81322,PGE
81556,PGE
82000,PGE
82258,PGE
82616,PGE
83709,PGE
83721,PGE
84446,PGE
85980,PGE
86989,PGE
87984,PGE
89134,PGE
89698,PGE
89769,PGE
89770,PGE
89818,PGE
90056,PGE
90275,PGE
90571,PGE
90677,PGE
91225,PGE
91468,PGE
91573,PGE
91705,PGE
92094,PGE
92192,PGE
92233,PGE
92343,PGE
92711,PGE
93081,PGE
93490,PGE
93706,PGE
93884,PGE
93933,PGE
94046,PGE
94195,PGE
94349,PGE
94408,PGE
94870,PGE
95033,PGE
95115,PGE
95149,PGE
95666,PGE
95952,PGE
96221,PGE
96236,PGE
96319,PGE
97115,PGE
98087,PGE
98626,PGE
98663,PGE
99395,PGE
99470,PGE
99539,PGE
99595,PGE
100080,PGE
100645,PGE
100800,PGE
100982,PGE
101025,PGE
102747,PGE
104014,PGE
105780,PGE
105783,PGE
106655,PGE
106990,PGE
108164,PGE
108677,PGE
108738,PGE
109570,PGE
109953,PGE
111443,PGE
111912,PGE
112004,PGE
112093,PGE
112488,PGE
112504,PGE
112784,PGE
112822,PGE
113019,PGE
113677,PGE
113919,PGE
114019,PGE
114359,PGE
115395,PGE
117501,PGE
117662,PGE
117981,PGE
119048,PGE
120223,PGE
120502,PGE
121559,PGE
121578,PGE
121629,PGE
121921,PGE
122422,PGE
122501,PGE
122763,PGE
123073,PGE
124338,PGE
124481,PGE
124656,PGE
124807,PGE
125913,PGE
126569,PGE
126619,PGE
126730,PGE
127677,PGE
127695,PGE
127730,PGE
127971,PGE
128220,PGE
128576,PGE
128629,PGE
128637,PGE
128921,PGE
129276,PGE
129545,PGE
129760,PGE
130048,PGE
130443,PGE
131179,PGE
132265,PGE
132297,PGE
132953,PGE
133412,PGE
133430,PGE
133679,PGE
134170,PGE
134205,PGE
134446,PGE
135058,PGE
135504,PGE
135779,PGE
136515,PGE
136517,PGE
136605,PGE
136863,PGE
137067,PGE
137315,PGE
137626,PGE
137795,PGE
137971,PGE
138946,PGE
139654,PGE
139902,PGE
139932,PGE
140831,PGE
140864,PGE
142059,PGE
142259,PGE
142300,PGE
142562,PGE
143326,PGE
143337,PGE
143430,PGE
143530,PGE
143832,PGE
144893,PGE
144971,PGE
145103,PGE
145386,PGE
145605,PGE
146038,PGE
146081,PGE
146174,PGE
146359,PGE
146511,PGE
147015,PGE
147226,PGE
147381,PGE
147877,PGE
148718,PGE
149176,PGE
149684,PGE
150078,PGE
150254,PGE
150633,PGE
151097,PGE
151486,PGE
151929,PGE
152014,PGE
152768,PGE
152939,PGE
153714,PGE
153906,PGE
153971,PGE
154210,PGE
155266,PGE
155482,PGE
156442,PGE
156668,PGE
156731,PGE
157061,PGE
157476,PGE
157941,PGE
158309,PGE
158756,PGE
158984,PGE
159570,PGE
160142,PGE
160257,PGE
160622,PGE
160765,PGE
161283,PGE
162011,PGE
162055,PGE
162064,PGE
162153,PGE
162527,PGE
163021,PGE
164247,PGE
164620,PGE
164933,PGE
165178,PGE
165199,PGE
165638,PGE
165998,PGE
166048,PGE
166467,PGE
167016,PGE
168097,PGE
168462,PGE
168652,PGE
168751,PGE
168866,PGE
170360,PGE
170884,PGE
170999,PGE
171453,PGE
171554,PGE
171699,PGE
172205,PGE
172690,PGE
173225,PGE
173442,PGE
173632,PGE
173983,PGE
174051,PGE
174195,PGE
175083,PGE
175292,PGE
175682,PGE
175727,PGE
176444,PGE
176997,PGE
177214,PGE
177712,PGE
177926,PGE
178119,PGE
178996,PGE
179620,PGE
180118,PGE
180574,PGE
180610,PGE
180668,PGE
181064,PGE
181086,PGE
181985,PGE
182043,PGE
182044,PGE
182180,PGE
182282,PGE
182841,PGE
182987,PGE
184470,PGE
184825,PGE
185122,PGE
185439,PGE
185709,PGE
185845,PGE
185942,PGE
185950,PGE
186009,PGE
186014,PGE
186770,PGE
186926,PGE
186997,PGE
187168,PGE
187533,PGE
188125,PGE
188352,PGE
188464,PGE
188838,PGE
188998,PGE
190887,PGE
191124,PGE
191744,PGE
193399,PGE
193533,PGE
194504,PGE
195003,PGE
195498,PGE
195728,PGE
197412,PGE
198229,PGE
198652,PGE
199152,PGE
199398,PGE
199555,PGE
199916,PGE
200017,PGE
200031,PGE
200243,PGE
201349,PGE
202382,PGE
202426,PGE
202475,PGE
202744,PGE
203641,PGE
203692,PGE
204673,PGE
206312,PGE
206413,PGE
