scenario_id,Fixed_Pct_TD,Remove_Wildfire,ROE_Reduction,fixed_monthly_care,fixed_monthly_non_care,Scaling,Vol_Avg,Total_Revenue,summer_peak,summer_offpeak,winter_peak,winter_offpeak,rate_type,source_scenario,ev_super_offpeak,ev_on_peak,export_regime,eec_multiplier,notes,summer_midpeak,winter_midpeak
F0_WF0_ROE0,0.0,False,0.0,0.0,0.0,1.0,0.4694,17238106734.3314,0.5894,0.4664,0.4646,0.4346,designed_tou,F0_WF0_ROE0,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F0_WF0_ROE0.5,0.0,False,0.5,0.0,0.0,0.9951,0.4671,17145592050.2145,0.5865,0.4641,0.4623,0.4325,designed_tou,F0_WF0_ROE0.5,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F0_WF0_ROE1.0,0.0,False,1.0,0.0,0.0,0.9902,0.4648,17053077366.0976,0.5836,0.4618,0.46,0.4303,designed_tou,F0_WF0_ROE1.0,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F0_WF0_ROE1.5,0.0,False,1.5,0.0,0.0,0.9853,0.4625,16960562681.9807,0.5807,0.4596,0.4578,0.4282,designed_tou,F0_WF0_ROE1.5,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F0_WF1_ROE0,0.0,True,0.0,0.0,0.0,0.7569,0.3553,12658248893.993,0.4461,0.353,0.3517,0.329,designed_tou,F0_WF1_ROE0,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F0_WF1_ROE0.5,0.0,True,0.5,0.0,0.0,0.752,0.353,12565734209.8761,0.4432,0.3508,0.3494,0.3268,designed_tou,F0_WF1_ROE0.5,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F0_WF1_ROE1.0,0.0,True,1.0,0.0,0.0,0.7471,0.3507,12473219525.7592,0.4404,0.3485,0.3471,0.3247,designed_tou,F0_WF1_ROE1.0,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F0_WF1_ROE1.5,0.0,True,1.5,0.0,0.0,0.7422,0.3484,12380704841.6423,0.4375,0.3462,0.3448,0.3225,designed_tou,F0_WF1_ROE1.5,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F25_WF0_ROE0,25.0,False,0.0,11.2597,45.4022,0.8718,0.4092,17238106734.3314,0.5138,0.4066,0.405,0.3789,designed_tou,F25_WF0_ROE0,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F25_WF0_ROE0.5,25.0,False,0.5,11.105,44.7781,0.8686,0.4078,17145592050.2145,0.512,0.4051,0.4036,0.3775,designed_tou,F25_WF0_ROE0.5,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F25_WF0_ROE1.0,25.0,False,1.0,10.9512,44.1582,0.8654,0.4063,17053077366.0976,0.5101,0.4037,0.4021,0.3761,designed_tou,F25_WF0_ROE1.0,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F25_WF0_ROE1.5,25.0,False,1.5,10.7985,43.5423,0.8623,0.4048,16960562681.9807,0.5083,0.4022,0.4006,0.3747,designed_tou,F25_WF0_ROE1.5,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F25_WF1_ROE0,25.0,True,0.0,4.7419,19.1205,0.7029,0.33,12658248893.993,0.4143,0.3279,0.3266,0.3055,designed_tou,F25_WF1_ROE0,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F25_WF1_ROE0.5,25.0,True,0.5,4.6381,18.702,0.6992,0.3282,12565734209.8761,0.4121,0.3261,0.3248,0.3039,designed_tou,F25_WF1_ROE0.5,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F25_WF1_ROE1.0,25.0,True,1.0,4.5353,18.2875,0.6954,0.3265,12473219525.7592,0.4099,0.3244,0.3231,0.3022,designed_tou,F25_WF1_ROE1.0,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F25_WF1_ROE1.5,25.0,True,1.5,4.4336,17.8772,0.6917,0.3247,12380704841.6423,0.4077,0.3226,0.3214,0.3006,designed_tou,F25_WF1_ROE1.5,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F50_WF0_ROE0,50.0,False,0.0,22.5195,90.8043,0.7435,0.349,17238106734.3314,0.4382,0.3468,0.3454,0.3231,designed_tou,F50_WF0_ROE0,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
