scenario_id,rate_type,source_scenario,fixed_monthly_dollars,demand_charge_per_kw_mo,peak_window,summer_peak,summer_midpeak,summer_offpeak,winter_peak,winter_midpeak,winter_offpeak,ev_super_offpeak,ev_on_peak,export_regime,notes
F0_WF0_ROE0,designed_tou,F0_WF0_ROE0,0.0,0.0,,0.6,0.527,0.45,0.5816,0.519,0.5008,,,nbt_hourly,"Existing designed scenario, unchanged"
F0_WF0_ROE0.5,designed_tou,F0_WF0_ROE0.5,0.0,0.0,,0.5955,0.5231,0.4467,0.5772,0.5151,0.4971,,,nbt_hourly,"Existing designed scenario, unchanged"
F0_WF0_ROE1.0,designed_tou,F0_WF0_ROE1.0,0.0,0.0,,0.5911,0.5192,0.4433,0.5729,0.5113,0.4934,,,nbt_hourly,"Existing designed scenario, unchanged"
F0_WF0_ROE1.5,designed_tou,F0_WF0_ROE1.5,0.0,0.0,,0.5866,0.5153,0.44,0.5686,0.5074,0.4897,,,nbt_hourly,"Existing designed scenario, unchanged"
F0_WF1_ROE0,designed_tou,F0_WF1_ROE0,0.0,0.0,,0.5478,0.4812,0.4109,0.531,0.4739,0.4573,,,nbt_hourly,"Existing designed scenario, unchanged"
F0_WF1_ROE0.5,designed_tou,F0_WF1_ROE0.5,0.0,0.0,,0.5434,0.4773,0.4075,0.5267,0.47,0.4536,,,nbt_hourly,"Existing designed scenario, unchanged"
F0_WF1_ROE1.0,designed_tou,F0_WF1_ROE1.0,0.0,0.0,,0.5389,0.4733,0.4042,0.5223,0.4661,0.4498,,,nbt_hourly,"Existing designed scenario, unchanged"
F0_WF1_ROE1.5,designed_tou,F0_WF1_ROE1.5,0.0,0.0,,0.5345,0.4694,0.4008,0.518,0.4623,0.4461,,,nbt_hourly,"Existing designed scenario, unchanged"
F25_WF0_ROE0,designed_tou,F25_WF0_ROE0,4248.97,0.0,,0.5241,0.4604,0.3931,0.508,0.4534,0.4375,,,nbt_hourly,"Existing designed scenario, unchanged"
F25_WF0_ROE0.5,designed_tou,F25_WF0_ROE0.5,4119.44,0.0,,0.5214,0.4579,0.391,0.5053,0.451,0.4352,,,nbt_hourly,"Existing designed scenario, unchanged"
F25_WF0_ROE1.0,designed_tou,F25_WF0_ROE1.0,3992.48,0.0,,0.5186,0.4555,0.3889,0.5026,0.4486,0.4329,,,nbt_hourly,"Existing designed scenario, unchanged"
F25_WF0_ROE1.5,designed_tou,F25_WF0_ROE1.5,3868.06,0.0,,0.5158,0.453,0.3868,0.4999,0.4461,0.4305,,,nbt_hourly,"Existing designed scenario, unchanged"
F25_WF1_ROE0,designed_tou,F25_WF1_ROE0,2923.58,0.0,,0.4899,0.4303,0.3675,0.4749,0.4238,0.409,,,nbt_hourly,"Existing designed scenario, unchanged"
F25_WF1_ROE0.5,designed_tou,F25_WF1_ROE0.5,2821.89,0.0,,0.487,0.4277,0.3652,0.472,0.4212,0.4065,,,nbt_hourly,"Existing designed scenario, unchanged"
F25_WF1_ROE1.0,designed_tou,F25_WF1_ROE1.0,2722.47,0.0,,0.484,0.4251,0.363,0.4691,0.4187,0.404,,,nbt_hourly,"Existing designed scenario, unchanged"
F25_WF1_ROE1.5,designed_tou,F25_WF1_ROE1.5,2625.31,0.0,,0.481,0.4225,0.3608,0.4662,0.4161,0.4015,,,nbt_hourly,"Existing designed scenario, unchanged"
F50_WF0_ROE0,designed_tou,F50_WF0_ROE0,8497.94,0.0,,0.4482,0.3937,0.3362,0.4345,0.3877,0.3742,,,nbt_hourly,"Existing designed scenario, unchanged"
F50_WF0_ROE0.5,designed_tou,F50_WF0_ROE0.5,8238.89,0.0,,0.4472,0.3928,0.3354,0.4334,0.3868,0.3733,,,nbt_hourly,"Existing designed scenario, unchanged"
F50_WF0_ROE1.0,designed_tou,F50_WF0_ROE1.0,7984.97,0.0,,0.4461,0.3918,0.3345,0.4323,0.3858,0.3723,,,nbt_hourly,"Existing designed scenario, unchanged"
F50_WF0_ROE1.5,designed_tou,F50_WF0_ROE1.5,7736.13,0.0,,0.4449,0.3908,0.3337,0.4312,0.3849,0.3714,,,nbt_hourly,"Existing designed scenario, unchanged"
F50_WF1_ROE0,designed_tou,F50_WF1_ROE0,5847.17,0.0,,0.4321,0.3795,0.3241,0.4188,0.3737,0.3607,,,nbt_hourly,"Existing designed scenario, unchanged"
F50_WF1_ROE0.5,designed_tou,F50_WF1_ROE0.5,5643.78,0.0,,0.4306,0.3782,0.323,0.4174,0.3725,0.3594,,,nbt_hourly,"Existing designed scenario, unchanged"
F50_WF1_ROE1.0,designed_tou,F50_WF1_ROE1.0,5444.95,0.0,,0.4291,0.3769,0.3218,0.4159,0.3712,0.3582,,,nbt_hourly,"Existing designed scenario, unchanged"
F50_WF1_ROE1.5,designed_tou,F50_WF1_ROE1.5,5250.63,0.0,,0.4276,0.3755,0.3207,0.4144,0.3698,0.3569,,,nbt_hourly,"Existing designed scenario, unchanged"
F75_WF0_ROE0,designed_tou,F75_WF0_ROE0,12746.9,0.0,,0.3724,0.3271,0.2793,0.3609,0.3221,0.3108,,,nbt_hourly,"Existing designed scenario, unchanged"
F75_WF0_ROE0.5,designed_tou,F75_WF0_ROE0.5,12358.33,0.0,,0.373,0.3276,0.2797,0.3615,0.3226,0.3113,,,nbt_hourly,"Existing designed scenario, unchanged"
F75_WF0_ROE1.0,designed_tou,F75_WF0_ROE1.0,11977.44,0.0,,0.3736,0.3281,0.2802,0.3621,0.3231,0.3118,,,nbt_hourly,"Existing designed scenario, unchanged"
F75_WF0_ROE1.5,designed_tou,F75_WF0_ROE1.5,11604.19,0.0,,0.3741,0.3286,0.2806,0.3626,0.3236,0.3123,,,nbt_hourly,"Existing designed scenario, unchanged"
F75_WF1_ROE0,designed_tou,F75_WF1_ROE0,8770.76,0.0,,0.3742,0.3287,0.2807,0.3627,0.3237,0.3124,,,nbt_hourly,"Existing designed scenario, unchanged"
F75_WF1_ROE0.5,designed_tou,F75_WF1_ROE0.5,8465.67,0.0,,0.3742,0.3287,0.2807,0.3627,0.3237,0.3124,,,nbt_hourly,"Existing designed scenario, unchanged"
F75_WF1_ROE1.0,designed_tou,F75_WF1_ROE1.0,8167.42,0.0,,0.3742,0.3287,0.2806,0.3627,0.3237,0.3124,,,nbt_hourly,"Existing designed scenario, unchanged"
