datetime,pge_produced,pge_delivered,pge_total,sce_produced,sce_delivered,sce_total,sdge_total
2025-01-01 00:00:00,0.0903,0.00083,0.09113,0.08799,0.0,0.08799,0.065
2025-01-01 01:00:00,0.08984,0.00083,0.09067,0.08963,0.0,0.08963,0.08799
2025-01-01 02:00:00,0.091,0.00084,0.09184,0.08686,0.0,0.08686,0.08963
2025-01-01 03:00:00,0.08984,0.00083,0.09067,0.0834,0.0,0.0834,0.08686
2025-01-01 04:00:00,0.08937,0.00083,0.0902,0.08281,0.0,0.08281,0.0834
2025-01-01 05:00:00,0.09069,0.00084,0.09153,0.08541,0.0,0.08541,0.08281
2025-01-01 06:00:00,0.09263,0.00086,0.09349,0.08631,0.0,0.08631,0.08541
2025-01-01 07:00:00,0.08395,0.00078,0.08473,0.08595,0.0,0.08595,0.08631
2025-01-01 08:00:00,0.06891,0.00065,0.06956,0.08295,0.00075,0.0837,0.08595
2025-01-01 09:00:00,0.05923,0.00056,0.05979,0.0835,0.00075,0.08425,0.08405
2025-01-01 10:00:00,0.05806,0.00055,0.05861,0.08101,0.00073,0.08174,0.08159
2025-01-01 11:00:00,0.05744,0.00054,0.05798,0.07928,0.00071,0.07999,0.07943
2025-01-01 12:00:00,0.05803,0.00055,0.05858,0.07913,0.00071,0.07984,0.07919
2025-01-01 13:00:00,0.05702,0.00053,0.05755,0.08127,0.00073,0.082,0.08112
2025-01-01 14:00:00,0.05576,0.00053,0.05629,0.08414,0.00075,0.08489,0.08266
2025-01-01 15:00:00,0.05808,0.00054,0.05862,0.07689,0.00069,0.07758,0.07641
2025-01-01 16:00:00,0.08449,0.0008,0.08529,0.06229,0.00058,0.06287,0.06184
2025-01-01 17:00:00,0.10484,0.00104,0.10588,0.05475,0.00053,0.05528,0.05399
2025-01-01 18:00:00,0.09859,0.00104,0.09963,0.0527,0.00051,0.05321,0.05179
2025-01-01 19:00:00,0.09184,0.00096,0.0928,0.05141,0.0005,0.05191,0.05028
2025-01-01 20:00:00,0.09012,0.00091,0.09103,0.05162,0.00049,0.05211,0.05081
2025-01-01 21:00:00,0.09051,0.00087,0.09138,0.04958,0.00047,0.05005,0.04855
2025-01-01 22:00:00,0.09345,0.00087,0.09432,0.04817,0.00045,0.04862,0.04706
2025-01-01 23:00:00,0.09275,0.00086,0.09361,0.0536,0.0005,0.0541,0.05278
2025-01-02 00:00:00,0.09342,0.00089,0.09431,0.07748,0.00077,0.07825,0.07721
2025-01-02 01:00:00,0.09158,0.00087,0.09245,0.09843,0.00103,0.09946,0.09806
2025-01-02 02:00:00,0.09006,0.00083,0.09089,0.09084,0.00119,0.09203,0.09106
2025-01-02 03:00:00,0.08901,0.00082,0.08983,0.08455,0.00115,0.0857,0.08431
2025-01-02 04:00:00,0.09098,0.00084,0.09182,0.08432,0.00107,0.08539,0.08381
2025-01-02 05:00:00,0.09319,0.00086,0.09405,0.08299,0.00102,0.08401,0.08194
2025-01-02 06:00:00,0.09405,0.00087,0.09492,0.08256,0.00089,0.08345,0.08194
2025-01-02 07:00:00,0.08869,0.00085,0.08954,0.08254,0.00079,0.08333,0.08207
2025-01-02 08:00:00,0.07673,0.00074,0.07747,0.08204,0.0008,0.08284,0.08209
2025-01-02 09:00:00,0.06861,0.00065,0.06926,0.08025,0.00078,0.08103,0.08017
2025-01-02 10:00:00,0.06798,0.00065,0.06863,0.07889,0.00077,0.07966,0.07875
2025-01-02 11:00:00,0.06785,0.00063,0.06848,0.07833,0.00076,0.07909,0.07831
2025-01-02 12:00:00,0.06658,0.00063,0.06721,0.07993,0.00078,0.08071,0.07987
2025-01-02 13:00:00,0.06494,0.00061,0.06555,0.08428,0.00078,0.08506,0.0842
2025-01-02 14:00:00,0.06351,0.0006,0.06411,0.08591,0.0008,0.08671,0.08644
2025-01-02 15:00:00,0.06592,0.00062,0.06654,0.08195,0.00081,0.08276,0.08192
2025-01-02 16:00:00,0.08167,0.00077,0.08244,0.06843,0.00074,0.06917,0.06834
2025-01-02 17:00:00,0.1084,0.00105,0.10945,0.06213,0.00067,0.0628,0.06211
2025-01-02 18:00:00,0.10144,0.00105,0.10249,0.05892,0.00064,0.05956,0.05901
2025-01-02 19:00:00,0.09332,0.00097,0.09429,0.05743,0.00062,0.05805,0.05762
2025-01-02 20:00:00,0.09259,0.00093,0.09352,0.05643,0.0006,0.05703,0.05654
2025-01-02 21:00:00,0.09362,0.0009,0.09452,0.0552,0.00057,0.05577,0.05536
2025-01-02 22:00:00,0.09652,0.00089,0.09741,0.05446,0.00056,0.05502,0.05463
2025-01-02 23:00:00,0.09499,0.00088,0.09587,0.05653,0.00058,0.05711,0.05673
2025-01-03 00:00:00,0.09342,0.00089,0.09431,0.07557,0.00076,0.07633,0.07577
2025-01-03 01:00:00,0.09158,0.00087,0.09245,0.09342,0.00104,0.09446,0.09379
2025-01-03 02:00:00,0.09006,0.00083,0.09089,0.09047,0.00133,0.0918,0.09039
2025-01-03 03:00:00,0.08901,0.00082,0.08983,0.08347,0.00129,0.08476,0.08362
2025-01-03 04:00:00,0.09098,0.00084,0.09182,0.08202,0.00122,0.08324,0.08233
2025-01-03 05:00:00,0.09319,0.00086,0.09405,0.08364,0.0011,0.08474,0.08404
2025-01-03 06:00:00,0.09405,0.00087,0.09492,0.08412,0.00091,0.08503,0.08431
2025-01-03 07:00:00,0.08869,0.00085,0.08954,0.08476,0.00082,0.08558,0.08485
2025-01-03 08:00:00,0.07673,0.00074,0.07747,0.08204,0.0008,0.08284,0.08209
2025-01-03 09:00:00,0.06861,0.00065,0.06926,0.08025,0.00078,0.08103,0.08017
2025-01-03 10:00:00,0.06798,0.00065,0.06863,0.07889,0.00077,0.07966,0.07875
2025-01-03 11:00:00,0.06785,0.00063,0.06848,0.07833,0.00076,0.07909,0.07831
2025-01-03 12:00:00,0.06658,0.00063,0.06721,0.07993,0.00078,0.08071,0.07987
2025-01-03 13:00:00,0.06494,0.00061,0.06555,0.08428,0.00078,0.08506,0.0842
2025-01-03 14:00:00,0.06351,0.0006,0.06411,0.08591,0.0008,0.08671,0.08644
2025-01-03 15:00:00,0.06592,0.00062,0.06654,0.08195,0.00081,0.08276,0.08192
2025-01-03 16:00:00,0.08167,0.00077,0.08244,0.06843,0.00074,0.06917,0.06834
2025-01-03 17:00:00,0.1084,0.00105,0.10945,0.06213,0.00067,0.0628,0.06211
2025-01-03 18:00:00,0.10144,0.00105,0.10249,0.05892,0.00064,0.05956,0.05901
2025-01-03 19:00:00,0.09332,0.00097,0.09429,0.05743,0.00062,0.05805,0.05762
2025-01-03 20:00:00,0.09259,0.00093,0.09352,0.05643,0.0006,0.05703,0.05654
2025-01-03 21:00:00,0.09362,0.0009,0.09452,0.0552,0.00057,0.05577,0.05536
2025-01-03 22:00:00,0.09652,0.00089,0.09741,0.05446,0.00056,0.05502,0.05463
2025-01-03 23:00:00,0.09499,0.00088,0.09587,0.05653,0.00058,0.05711,0.05673
2025-01-04 00:00:00,0.0903,0.00083,0.09113,0.07557,0.00076,0.07633,0.07577
2025-01-04 01:00:00,0.08984,0.00083,0.09067,0.09342,0.00104,0.09446,0.09379
2025-01-04 02:00:00,0.091,0.00084,0.09184,0.09047,0.00133,0.0918,0.09039
2025-01-04 03:00:00,0.08984,0.00083,0.09067,0.08347,0.00129,0.08476,0.08362
2025-01-04 04:00:00,0.08937,0.00083,0.0902,0.08202,0.00122,0.08324,0.08233
2025-01-04 05:00:00,0.09069,0.00084,0.09153,0.08364,0.0011,0.08474,0.08404
2025-01-04 06:00:00,0.09263,0.00086,0.09349,0.08412,0.00091,0.08503,0.08431
2025-01-04 07:00:00,0.08395,0.00078,0.08473,0.08476,0.00082,0.08558,0.08485
2025-01-04 08:00:00,0.06891,0.00065,0.06956,0.08295,0.00075,0.0837,0.08291
