,puma,utility,utility_acronym,utility_type,climate_zone,utility_baseline_territory,summer_baseline_allowance,winter_baseline_allowance,PUMA
0,101,Pacific Gas & Electric Company,PGE,IOU,3,X,9.8,9.7,G06000101
1,111,Pacific Gas & Electric Company,PGE,IOU,3,X,9.8,9.7,G06000111
2,112,Pacific Gas & Electric Company,PGE,IOU,3,X,9.8,9.7,G06000112
3,113,Pacific Gas & Electric Company,PGE,IOU,3,X,9.8,9.7,G06000113
4,114,Pacific Gas & Electric Company,PGE,IOU,3,X,9.8,9.7,G06000114
5,115,Pacific Gas & Electric Company,PGE,IOU,3,X,9.8,9.7,G06000115
6,116,Pacific Gas & Electric Company,PGE,IOU,3,X,9.8,9.7,G06000116
7,117,Pacific Gas & Electric Company,PGE,IOU,3,X,9.8,9.7,G06000117
8,118,Pacific Gas & Electric Company,PGE,IOU,3,X,9.8,9.7,G06000118
9,119,Pacific Gas & Electric Company,PGE,IOU,12,X,9.8,9.7,G06000119
10,120,Pacific Gas & Electric Company,PGE,IOU,12,X,9.8,9.7,G06000120
11,121,Pacific Gas & Electric Company,PGE,IOU,3,X,9.8,9.7,G06000121
12,122,Pacific Gas & Electric Company,PGE,IOU,3,X,9.8,9.7,G06000122
13,123,Pacific Gas & Electric Company,PGE,IOU,3,X,9.8,9.7,G06000123
14,300,Pacific Gas & Electric Company,PGE,IOU,12,S,15.0,10.2,G06000300
15,700,Pacific Gas & Electric Company,PGE,IOU,11,S,15.0,10.2,G06000700
16,1100,Pacific Gas & Electric Company,PGE,IOU,11,S,15.0,10.2,G06001100
17,1301,Pacific Gas & Electric Company,PGE,IOU,3,T,6.5,7.5,G06001301
18,1305,Pacific Gas & Electric Company,PGE,IOU,12,X,9.8,9.7,G06001305
19,1308,Pacific Gas & Electric Company,PGE,IOU,12,R,17.7,10.4,G06001308
20,1309,Pacific Gas & Electric Company,PGE,IOU,12,S,15.0,10.2,G06001309
21,1310,Pacific Gas & Electric Company,PGE,IOU,3,X,9.8,9.7,G06001310
22,1311,Pacific Gas & Electric Company,PGE,IOU,12,X,9.8,9.7,G06001311
23,1312,Pacific Gas & Electric Company,PGE,IOU,12,X,9.8,9.7,G06001312
24,1313,Pacific Gas & Electric Company,PGE,IOU,12,X,9.8,9.7,G06001313
25,1314,Pacific Gas & Electric Company,PGE,IOU,12,X,9.8,9.7,G06001314
26,1700,Pacific Gas & Electric Company,PGE,IOU,12,Y,10.5,11.1,G06001700
27,1901,Pacific Gas & Electric Company,PGE,IOU,13,R,17.7,10.4,G06001901
28,1902,Pacific Gas & Electric Company,PGE,IOU,13,R,17.7,10.4,G06001902
29,1903,Pacific Gas & Electric Company,PGE,IOU,13,R,17.7,10.4,G06001903
30,1904,Pacific Gas & Electric Company,PGE,IOU,13,R,17.7,10.4,G06001904
31,1905,Pacific Gas & Electric Company,PGE,IOU,13,R,17.7,10.4,G06001905
32,1906,Pacific Gas & Electric Company,PGE,IOU,13,R,17.7,10.4,G06001906
33,1907,Pacific Gas & Electric Company,PGE,IOU,13,R,17.7,10.4,G06001907
34,2300,Pacific Gas & Electric Company,PGE,IOU,1,V,7.1,8.1,G06002300
35,2903,Pacific Gas & Electric Company,PGE,IOU,13,W,19.2,9.8,G06002903
36,2904,Pacific Gas & Electric Company,PGE,IOU,13,W,19.2,9.8,G06002904
37,2905,Southern California Edison,SCE,IOU,16,16,14.7,12.4,G06002905
38,2906,Pacific Gas & Electric Company,PGE,IOU,13,W,19.2,9.8,G06002906
39,2907,Pacific Gas & Electric Company,PGE,IOU,13,W,19.2,9.8,G06002907
40,2908,Pacific Gas & Electric Company,PGE,IOU,13,W,19.2,9.8,G06002908
41,3100,Pacific Gas & Electric Company,PGE,IOU,13,W,19.2,9.8,G06003100
42,3300,Pacific Gas & Electric Company,PGE,IOU,2,P,13.5,11.0,G06003300
43,3703,Southern California Edison,SCE,IOU,14,14,19.2,11.9,G06003703
44,3704,Southern California Edison,SCE,IOU,14,14,19.2,11.9,G06003704
45,3705,Los Angeles Department of Water & Power,LADWP,POU,9,Zone 2,16.66667,16.66667,G06003705
46,3706,Los Angeles Department of Water & Power,LADWP,POU,9,Zone 2,16.66667,16.66667,G06003706
47,3707,Los Angeles Department of Water & Power,LADWP,POU,9,Zone 2,16.66667,16.66667,G06003707
48,3708,Los Angeles Department of Water & Power,LADWP,POU,9,Zone 2,16.66667,16.66667,G06003708
49,3709,Southern California Edison,SCE,IOU,9,9,16.9,12.0,G06003709
50,3710,Southern California Edison,SCE,IOU,9,9,16.9,12.0,G06003710
51,3711,Southern California Edison,SCE,IOU,9,9,16.9,12.0,G06003711
52,3712,Southern California Edison,SCE,IOU,9,9,16.9,12.0,G06003712
53,3713,Southern California Edison,SCE,IOU,9,9,16.9,12.0,G06003713
54,3714,Southern California Edison,SCE,IOU,9,9,16.9,12.0,G06003714
55,3715,Southern California Edison,SCE,IOU,9,9,16.9,12.0,G06003715
56,3716,Southern California Edison,SCE,IOU,9,9,16.9,12.0,G06003716
57,3717,Southern California Edison,SCE,IOU,9,9,16.9,12.0,G06003717
58,3718,Southern California Edison,SCE,IOU,9,9,16.9,12.0,G06003718
59,3719,Los Angeles Department of Water & Power,LADWP,POU,9,Zone 2,16.66667,16.66667,G06003719
60,3720,Los Angeles Department of Water & Power,LADWP,POU,9,Zone 2,16.66667,16.66667,G06003720
61,3721,Los Angeles Department of Water & Power,LADWP,POU,9,Zone 2,16.66667,16.66667,G06003721
62,3722,Los Angeles Department of Water & Power,LADWP,POU,9,Zone 2,16.66667,16.66667,G06003722
63,3723,Los Angeles Department of Water & Power,LADWP,POU,9,Zone 2,16.66667,16.66667,G06003723
64,3724,Los Angeles Department of Water & Power,LADWP,POU,9,Zone 2,16.66667,16.66667,G06003724
65,3725,Los Angeles Department of Water & Power,LADWP,POU,9,Zone 2,16.66667,16.66667,G06003725
66,3728,Los Angeles Department of Water & Power,LADWP,POU,6,Zone 1,11.66667,11.66667,G06003728
67,3730,Los Angeles Department of Water & Power,LADWP,POU,9,Zone 1,11.66667,11.66667,G06003730
68,3731,Los Angeles Department of Water & Power,LADWP,POU,9,Zone 1,11.66667,11.66667,G06003731
69,3732,Los Angeles Department of Water & Power,LADWP,POU,9,Zone 1,11.66667,11.66667,G06003732
70,3733,Los Angeles Department of Water & Power,LADWP,POU,9,Zone 2,16.66667,16.66667,G06003733
71,3734,Los Angeles Department of Water & Power,LADWP,POU,9,Zone 2,16.66667,16.66667,G06003734
72,3735,Los Angeles Department of Water & Power,LADWP,POU,9,Zone 2,16.66667,16.66667,G06003735
73,3736,Southern California Edison,SCE,IOU,9,9,16.9,12.0,G06003736
74,3737,Southern California Edison,SCE,IOU,9,9,16.9,12.0,G06003737
75,3738,Southern California Edison,SCE,IOU,9,9,16.9,12.0,G06003738
76,3739,Southern California Edison,SCE,IOU,9,9,16.9,12.0,G06003739
77,3740,Southern California Edison,SCE,IOU,9,9,16.9,12.0,G06003740
78,3741,Southern California Edison,SCE,IOU,8,8,12.8,10.3,G06003741
79,3742,Los Angeles Department of Water & Power,LADWP,POU,8,Zone 2,16.66667,16.66667,G06003742
80,3743,Southern California Edison,SCE,IOU,9,9,16.9,12.0,G06003743
81,3744,Los Angeles Department of Water & Power,LADWP,POU,9,Zone 2,16.66667,16.66667,G06003744
82,3745,Los Angeles Department of Water & Power,LADWP,POU,8,Zone 2,16.66667,16.66667,G06003745
83,3746,Los Angeles Department of Water & Power,LADWP,POU,8,Zone 2,16.66667,16.66667,G06003746
84,3747,Los Angeles Department of Water & Power,LADWP,POU,8,Zone 1,11.66667,11.66667,G06003747
85,3748,Los Angeles Department of Water & Power,LADWP,POU,6,Zone 1,11.66667,11.66667,G06003748
86,3750,Los Angeles Department of Water & Power,LADWP,POU,8,Zone 2,16.66667,16.66667,G06003750
87,3751,Los Angeles Department of Water & Power,LADWP,POU,8,Zone 2,16.66667,16.66667,G06003751
88,3752,Southern California Edison,SCE,IOU,8,8,12.8,10.3,G06003752
89,3753,Southern California Edison,SCE,IOU,8,8,12.8,10.3,G06003753
90,3754,Southern California Edison,SCE,IOU,9,9,16.9,12.0,G06003754
91,3757,Southern California Edison,SCE,IOU,8,8,12.8,10.3,G06003757
92,3758,Southern California Edison,SCE,IOU,8,8,12.8,10.3,G06003758
93,3759,Southern California Edison,SCE,IOU,8,8,12.8,10.3,G06003759
94,3760,Southern California Edison,SCE,IOU,6,6,11.4,11.0,G06003760
95,3761,Southern California Edison,SCE,IOU,6,6,11.4,11.0,G06003761
