Scenario,Fixed_Pct_TD,Remove_Wildfire,ROE_Reduction,Fixed_CARE,Fixed_NonCARE,Scaling,Vol_Avg,Total_Revenue,summer_peak,summer_midpeak,summer_offpeak,winter_peak,winter_midpeak,winter_offpeak
F0_WF0_ROE0,0,False,0.0,0.0,0.0,1.0,0.5295,3575397107.5152,0.6,0.527,0.45,0.5816,0.519,0.5008
F0_WF0_ROE0.5,0,False,0.5,0.0,0.0,0.9926,0.5256,3545551623.5115,0.5955,0.5231,0.4467,0.5772,0.5151,0.4971
F0_WF0_ROE1.0,0,False,1.0,0.0,0.0,0.9851,0.5217,3515706139.5078,0.5911,0.5192,0.4433,0.5729,0.5113,0.4934
F0_WF0_ROE1.5,0,False,1.5,0.0,0.0,0.9777,0.5177,3485860655.5041,0.5866,0.5153,0.44,0.5686,0.5074,0.4897
F0_WF1_ROE0,0,True,0.0,0.0,0.0,0.913,0.4835,3225825844.121,0.5478,0.4812,0.4109,0.531,0.4739,0.4573
F0_WF1_ROE0.5,0,True,0.5,0.0,0.0,0.9056,0.4795,3195980360.1173,0.5434,0.4773,0.4075,0.5267,0.47,0.4536
F0_WF1_ROE1.0,0,True,1.0,0.0,0.0,0.8982,0.4756,3166134876.1136,0.5389,0.4733,0.4042,0.5223,0.4661,0.4498
F0_WF1_ROE1.5,0,True,1.5,0.0,0.0,0.8908,0.4717,3136289392.1099,0.5345,0.4694,0.4008,0.518,0.4623,0.4461
F25_WF0_ROE0,25,False,0.0,18.3804,45.9511,0.8735,0.4626,3575397107.5152,0.5241,0.4604,0.3931,0.508,0.4534,0.4375
F25_WF0_ROE0.5,25,False,0.5,17.9701,44.9253,0.8689,0.4601,3545551623.5115,0.5214,0.4579,0.391,0.5053,0.451,0.4352
F25_WF0_ROE1.0,25,False,1.0,17.5642,43.9104,0.8643,0.4577,3515706139.5078,0.5186,0.4555,0.3889,0.5026,0.4486,0.4329
F25_WF0_ROE1.5,25,False,1.5,17.1625,42.9062,0.8596,0.4552,3485860655.5041,0.5158,0.453,0.3868,0.4999,0.4461,0.4305
F25_WF1_ROE0,25,True,0.0,14.0175,35.0438,0.8166,0.4324,3225825844.121,0.4899,0.4303,0.3675,0.4749,0.4238,0.409
F25_WF1_ROE0.5,25,True,0.5,13.6563,34.1407,0.8116,0.4298,3195980360.1173,0.487,0.4277,0.3652,0.472,0.4212,0.4065
F25_WF1_ROE1.0,25,True,1.0,13.2994,33.2484,0.8067,0.4272,3166134876.1136,0.484,0.4251,0.363,0.4691,0.4187,0.404
F25_WF1_ROE1.5,25,True,1.5,12.9468,32.3669,0.8017,0.4245,3136289392.1099,0.481,0.4225,0.3608,0.4662,0.4161,0.4015
F50_WF0_ROE0,50,False,0.0,36.7609,91.9022,0.7471,0.3956,3575397107.5152,0.4482,0.3937,0.3362,0.4345,0.3877,0.3742
F50_WF0_ROE0.5,50,False,0.5,35.9403,89.8507,0.7453,0.3946,3545551623.5115,0.4472,0.3928,0.3354,0.4334,0.3868,0.3733
F50_WF0_ROE1.0,50,False,1.0,35.1283,87.8208,0.7434,0.3937,3515706139.5078,0.4461,0.3918,0.3345,0.4323,0.3858,0.3723
F50_WF0_ROE1.5,50,False,1.5,34.325,85.8125,0.7415,0.3927,3485860655.5041,0.4449,0.3908,0.3337,0.4312,0.3849,0.3714
F50_WF1_ROE0,50,True,0.0,28.0351,70.0877,0.7201,0.3813,3225825844.121,0.4321,0.3795,0.3241,0.4188,0.3737,0.3607
F50_WF1_ROE0.5,50,True,0.5,27.3126,68.2814,0.7177,0.38,3195980360.1173,0.4306,0.3782,0.323,0.4174,0.3725,0.3594
F50_WF1_ROE1.0,50,True,1.0,26.5987,66.4969,0.7152,0.3787,3166134876.1136,0.4291,0.3769,0.3218,0.4159,0.3712,0.3582
